Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 100147,Specimen/Lot,"Madracis asanoi Yabe & Sugiyama, 1936",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Cairns, Stephen D., Smithsonian Institution, National Museum of Natural History",1999,"Madracis asanoi Yabe & Sugiyama, 1936 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,10 ca.,,,,"Colin, P.",4-Feb-98,,North Pacific Ocean,,,Palau,,,,"Palau Island, Agupelu Reef, Short Drop Off",,,,,,,,,107 to 122,,,,,,2010559,,,,,,,,,3/29/2017 16:40,http://n2t.net/ark:/65665/32fa8029c-f53d-4848-a672-ce2181741d3b
USNM 100164,Specimen/Lot,"Madracis asanoi Yabe & Sugiyama, 1936",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Cairns, Stephen D., Smithsonian Institution, National Museum of Natural History",1999,"Madracis asanoi Yabe & Sugiyama, 1936 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,5 ca.,,,,"Colin, P.",18-Dec-97,,North Pacific Ocean,,,Palau,,,,"Palau Island, Agupelu Reef, Short Drop Off",,,,,,,,,107,,,,,,2010559,,,,,,,,,3/29/2017 16:40,http://n2t.net/ark:/65665/318e92378-b8c7-480e-9bb1-be8112ea95de
USNM 96671,Specimen/Lot,"Madracis asanoi Yabe & Sugiyama, 1936",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Cairns, Stephen D., Smithsonian Institution, National Museum of Natural History",1995,"Madracis asanoi Yabe & Sugiyama, 1936 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,5277,United States Fish Commission,17-Jul-08,"Trawl - Agassiz beam, 12 ft, with mud bag",North Pacific Ocean,China Sea,,Philippines,Mindoro Occidental,,,"Verde Island Passage, Malavatuan Island",13.9486,120.229,,Philippines Expedition,Albatross R/V,,,,146,,,,USFC/A5277,,,,,,,,,,,3/29/2017 17:01,http://n2t.net/ark:/65665/3ce6e041c-61ca-42e5-b4ec-0e85b5e164d9
USNM 96672,Specimen/Lot,"Madracis asanoi Yabe & Sugiyama, 1936",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Cairns, Stephen D., Smithsonian Institution, National Museum of Natural History",1995,"Madracis asanoi Yabe & Sugiyama, 1936 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,5381,United States Fish Commission,6-Mar-09,"Trawl - Agassiz beam, 12 ft, with mud bag",North Pacific Ocean,Gulf of Ragay,,Philippines,Camarines Sur,,,"Luzon Island, Bondok Peninsula, San Andres",13.2375,122.746,,Philippines Expedition,Albatross R/V,,,,161,,,,USFC/A5381,,,,,,,,,,,3/29/2017 17:01,http://n2t.net/ark:/65665/3d86dbc04-5533-4384-b80d-ea08e523e6ab
USNM 99467,Specimen/Lot,"Madracis asanoi Yabe & Sugiyama, 1936",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Madracis asanoi Yabe & Sugiyama, 1936 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,5,,,,,,,North Pacific Ocean,,,Japan,Wakayama,,,Shiono Misaki,,,,,,,,,,,,,,,420400,,,,,,,,,3/29/2017 16:56,http://n2t.net/ark:/65665/3b5ff34b8-a7fc-4fbc-b107-b61d84cd81d9
USNM 45597,Specimen/Lot,"Madracis asperula Milne Edwards & Haime, 1849",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,Vaughan,,"Madracis asperula Milne Edwards & Haime, 1849 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,6087,United States Fish Commission,8 Feb 1899,Tangles,North Atlantic Ocean,Caribbean Sea,,Puerto Rico,,,,Culebra Island,,,,Puerto Rico Expedition 1898-1899,Fish Hawk R/V,,,,27.9,,,,USFC/FCFH6087,,,,,,,,,,,2/9/2018 22:26,http://n2t.net/ark:/65665/3f35b6551-4ae4-4d8b-b2dd-eec60fee4658
USNM 72471,Specimen/Lot,"Madracis asperula Milne Edwards & Haime, 1849",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Trine, S.",27-Aug-81,"Madracis asperula Milne Edwards & Haime, 1849 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,BOEM Collections; Southwest Florida Shelf Ecosystem Study; SOFLA,1 ca.,,,9,Continental Shelf Associates for BLM/ MMS,4-May-81,Dredge - Triangle,North Atlantic Ocean,Gulf of Mexico,,United States,,,,Off Florida,26.2806,-83.3969,,SOFLA,,,,,55.5,,,,1/IV-09B,,345592,,,,,,,,,9/17/2018 16:25,http://n2t.net/ark:/65665/34a8fc5b4-414b-4d4f-95c0-21baf5acb3d0
USNM 72472,Specimen/Lot,"Madracis asperula Milne Edwards & Haime, 1849",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,Continental Shelf Associates for BLM/ MMS,,"Madracis asperula Milne Edwards & Haime, 1849 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,BOEM Collections; Southwest Florida Shelf Ecosystem Study; SOFLA,1 ca.,,,9,Continental Shelf Associates for BLM/ MMS,19-Jul-81,Trawl - Otter,North Atlantic Ocean,Gulf of Mexico,,United States,,,,Off Florida,26.2806,-83.3969,,SOFLA,,,,,55.5,,,,2/II-09,,345592,,,,,,,,,9/17/2018 16:25,http://n2t.net/ark:/65665/304f75b2b-ed94-484e-b3b9-91cc8a27a33b
USNM 72473,Specimen/Lot,"Madracis asperula Milne Edwards & Haime, 1849",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,Continental Shelf Associates for BLM/ MMS,,"Madracis asperula Milne Edwards & Haime, 1849 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,BOEM Collections; Southwest Florida Shelf Ecosystem Study; SOFLA,1 ca.,,,9,Continental Shelf Associates for BLM/ MMS,19-Jul-81,Dredge - Triangle,North Atlantic Ocean,Gulf of Mexico,,United States,,,,Off Florida,26.2806,-83.3969,,SOFLA,,,,,55.5,,,,2/II-09C,,345592,,,,,,,,,9/17/2018 16:25,http://n2t.net/ark:/65665/32ec0d254-2b6c-4ba7-a758-19fcb13b10b7
USNM 72474,Specimen/Lot,"Madracis asperula Milne Edwards & Haime, 1849",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,Continental Shelf Associates for BLM/ MMS,,"Madracis asperula Milne Edwards & Haime, 1849 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,BOEM Collections; Southwest Florida Shelf Ecosystem Study; SOFLA,1,,,9,Continental Shelf Associates for BLM/ MMS,5-Nov-80,Trawl - Otter,North Atlantic Ocean,Gulf of Mexico,,United States,,,,Off Florida,26.2806,-83.3969,,SOFLA,,,,,55.5,,,,1/III-09A,,345592,,,,,,,,,9/17/2018 16:25,http://n2t.net/ark:/65665/31c8c5c59-c5ea-4e31-9f1a-3427f447a591
