Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 100548,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,10 ca.,,,883,"Humes, A. G.",11-Jun-64,,Indian Ocean,,,Madagascar,,,,"Nosy Be, Ankify, Near Nosy Komba",-13.33,48.25,,,,,,,0.1,,,,Humes 883,,2015189,,,,,,,,,4/3/2019 15:48,http://n2t.net/ark:/65665/3434a5eab-2599-4da0-91bb-510b6c4c2fe7
USNM 38334,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",10-Oct-13,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, Maer Island, 800 - 850 Ft From Shore On SE Reef Flat",,,,,,,,,0.4,,,,,,,,,,,,,,,4/3/2019 15:47,http://n2t.net/ark:/65665/303d73960-a6cd-4635-8321-f31564b4f23d
USNM 38335,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, Maer Island, 1200 Ft From Shore On SE Reef Flat",,,,,,,,,0.3,,,,,,,,,,,,,,,4/3/2019 15:47,http://n2t.net/ark:/65665/3c565ebb1-800b-45cc-bbc7-e2ff866ad83c
USNM 38336,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, Maer Island, 625 Ft From Shore On SE Reef Flat",,,,,,,,,0.2,,,,,,,,,,,,,,,4/3/2019 15:47,http://n2t.net/ark:/65665/33964c23f-80d5-483e-875e-f0db49ee4ef5
USNM 885,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,,1838 to 1842,,South Pacific Ocean,,,Fiji,,,,,,,,U.S. Exploring Expedition,,,,,,,,,,,,,,,,,,,,4/3/2019 15:44,http://n2t.net/ark:/65665/364a56b79-5009-41b1-b31a-9abff7ed19b9
USNM 38163,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,4,,,LINE NO. 1,"Mayer, A. G.",,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, 800 Ft From Shore On SE Reef",,,,,,,,,0.3,,,,,,,,,,,,,,,4/3/2019 15:45,http://n2t.net/ark:/65665/37f4dc890-2611-4487-b19c-afc72891c350
USNM 38330,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,6,,,,,,,Indian Ocean,,,Australia,,,,Cocos Keeling Islands,,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:46,http://n2t.net/ark:/65665/39d151889-3f6c-41be-96ef-e7937f9fe5cb
USNM 38160,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,2 Mixed Lot,,,,"Mayer, A. G.",,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, 400 Ft Offshore",,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:44,http://n2t.net/ark:/65665/35998d5dc-a0bc-4f3c-9a7e-a1439d3b7339
USNM 38164,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,9 Mixed Lot,,,,,,,South Pacific Ocean,,,Australia,Queensland,,,Murray Island,,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:45,http://n2t.net/ark:/65665/30f22627c-67d2-4fae-a524-50c95a27247c
USNM 15732,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1 Mixed Lot,,,,,,,North Pacific Ocean,,,Micronesia,,,,Caroline Islands,,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:44,http://n2t.net/ark:/65665/375ec393a-b975-43ce-a422-f1599ecab9df
USNM 1123444,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, 1200 Ft. From Shore, SE Reef",,,,,,,,,0.23,,,,,,,,,,,,,,,4/3/2019 15:48,http://n2t.net/ark:/65665/3823ab39d-5a0d-4884-acc1-2bc140817e5d
USNM 38333,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",8-Oct-13,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, 800 Ft. From Shore, SE Reef flats water 15 inches deep.",,,,,,,,,0.38,,,,,Collector's Specimen Number : 23,,,,,,,,,,5/23/2019 16:35,http://n2t.net/ark:/65665/3511115c7-d529-40a3-83b3-339acc244185
USNM 38162,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,5 Mixed Lot,,,,"Mayer, A. G.",,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, 600 Ft From Shore On Line I",,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:45,http://n2t.net/ark:/65665/318a8d273-3836-4bb5-a17a-2d243fe0aaa5
USNM 38332,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",7 Oct 1913 (09 OCT 1913),,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, Maer Island, 600-1000 Ft From Shore On SE Reef Flat",,,,,,,,,0.3,,,,,,,,,,,,,,,4/3/2019 15:47,http://n2t.net/ark:/65665/3422d52cd-f87a-4d74-8489-e3d2992d6c9d
USNM 38169,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",6-Oct-13,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, SE Reef, 650 Ft From Shore",,,,,,,,,,Intertidal,,,,,,,,,,,,,,4/3/2019 15:46,http://n2t.net/ark:/65665/39e0ff8fc-8210-4dc6-83b2-da308f2efce3
USNM 38166,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,3,,,,"Mayer, A. G.",,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, Line I, 1600 Ft From Shore On SE Reef",,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:45,http://n2t.net/ark:/65665/3840469fe-55cd-4087-bb58-4d5c78849a64
USNM 38331,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",,,South Pacific Ocean,,,Australia,Queensland,,,On reef of Murray island S.E. side of Island on line no. I about 850 ft. from shore.,,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:46,http://n2t.net/ark:/65665/3fe89683d-234d-49ff-a890-a6d1a2940a5e
USNM 38167,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,2,,,,"Mayer, A. G.",7 Oct 1913 (09 OCT 1913),,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, Maer Island, 600-1000 Ft From Shore On SE Reef Flat",,,,,,,,,0.3,,,,,,,,,,,,,,,4/3/2019 15:46,http://n2t.net/ark:/65665/3f133822e-d1c3-460f-bdcd-becb2d6e3d9d
USNM 38165,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,12 Mixed Lot,,,,"Walton, C.",,,South Pacific Ocean,,,Australia,,,,"Torres Strait, Murray Id., 1400ft from shore, line I, s.e. reef",,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:45,http://n2t.net/ark:/65665/3a8e7f2b9-9304-4aa5-8c37-58dd02431ec9
USNM 15724,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,,,,North Pacific Ocean,,,Micronesia,,,,,,,,,,,,,,,,,,,18488,,,,,,,,,4/3/2019 15:44,http://n2t.net/ark:/65665/3a2d77947-47bc-4d91-867d-9d537e17e20c
USNM 38170,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,7,,,,"Mayer, A. G.",9 Oct 1913 to 13 Oct 1913,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, Lithothamnion Ridge On SE Reef",,,,,,,,,,,,,,,,,,,,,,,,4/3/2019 15:46,http://n2t.net/ark:/65665/38648672d-5792-4aa9-819a-852aa21450f3
USNM 38168,Specimen/Lot,"Pocillopora acuta Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora acuta Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora bulbosa Ehrenberg, 1834",,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Mayer, A. G.",6-Oct-13,,South Pacific Ocean,,,Australia,Queensland,,,"Murray Island, SE Reef, 650 Ft From Shore",,,,,,,,,,Intertidal,,,,,,,,,,,,,,4/3/2019 15:46,http://n2t.net/ark:/65665/3ef5ace6f-9baa-4fa5-982e-ffe483d5a1f2
USNM M   324782,Specimen/Lot,"Pocillopora arnoldi Vaughan, 1919",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Vaughan, T. W.",,"Pocillopora arnoldi Vaughan, 1919 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,Holotype,"Vaughan. 1919. Bull. U.S. Nat. Mus. 103(9): 343-344, pl.76, fig.3.",,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 06444,U.S. Geological Survey,,,,,,Panama,Canal Zone,,,"Empire Quarry, La Boca Formation",,,,,,,,,,,Mid Miocene,,,,,,,,,,,,,4/20/2018 20:42,http://n2t.net/ark:/65665/3ea8453a9-9979-4147-8911-5fa50906bc2c
USNM 698,Specimen/Lot,"Pocillopora aspera Verrill, 1869",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Verrill, Addison E., Peabody Museum, Yale",,"Pocillopora aspera Verrill, 1869 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria","Pocillopora favosa (Ehrenber, 1834)",Syntype,"Verrill. 1869. Proc. Comm. Essex Inst. 6(4): 93-94, no fig.",,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,,1838 to 1842,,North Pacific Ocean,,,United States,Hawaii,,,,,,,U.S. Exploring Expedition,,,,,,,,,,,0,,,,,,,,,3/29/2017 16:57,http://n2t.net/ark:/65665/30eebe852-7597-4c9e-9853-4995d3fb9c46
USNM 20974,Specimen/Lot,"Pocillopora aspera Verrill, 1869",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora aspera Verrill, 1869 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Brigham, W. T.",,,North Pacific Ocean,,,United States,Hawaii,,,"Molokai Island, Pukoo",,,,,,,,,,,,"COE 20974 is entered in EMU as 2 specimens; only one can now be found. A second specimen labeled COE 20974 exists - abd its information is identical to that of ""aspera"", except that it is labeled ""P. ligulata."" It has been catalogued under the number 1204585",,,,,,,,,,,,3/29/2017 16:40,http://n2t.net/ark:/65665/3fd3902a7-4d01-40f6-8cde-a0c63de45780
USNM 36602,Specimen/Lot,"Pocillopora aspera Verrill, 1869",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora aspera Verrill, 1869 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,6,,,,,1838 to 1842,,South Pacific Ocean,,,Fiji,,,,,,,,U.S. Exploring Expedition,,,,,,,,,,,,,,,,,,,,3/29/2017 16:48,http://n2t.net/ark:/65665/394c3304b-3713-4fde-abaa-2b67787bf596
USNM M   324783,Specimen/Lot,"Pocillopora baracoaensis Vaughan, 1919",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Vaughan, T. W.",,"Pocillopora baracoaensis Vaughan, 1919 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,Holotype,"Vaughan. 1919. Bull. U.S. Nat. Mus. 103: 344, pl.77, fig.1.",,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 03476,"Vaughan, T. W.",1901,,,,,Cuba,,Oriente,,"Baracoa, Bowden Marl",,,,,,,,,,,Miocene,,,,0,,,,,,,,,3/29/2017 16:42,http://n2t.net/ark:/65665/352cd3877-3f9f-4c8d-a8b5-d6ad0e3bd6e4
USNM M   546375,Specimen/Lot,"Pocillopora baracoaensis Vaughan, 1919",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora baracoaensis Vaughan, 1919 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 08610,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Oligocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/31f750a3e-dee2-4a98-bf64-c3d04c6dce27
USNM M   546378,Specimen/Lot,"Pocillopora baracoaensis Vaughan, 1919",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora baracoaensis Vaughan, 1919 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 08566,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Oligocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/362331d6b-a919-4eca-bbc3-bd8a22204648
USNM M   546380,Specimen/Lot,"Pocillopora baracoaensis Vaughan, 1919",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora baracoaensis Vaughan, 1919 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,7 Fragment(s),,,GS 08568,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Miocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/32fe3d9cb-30ed-4cde-a7f3-8d4145cc1f70
USNM 44393,Specimen/Lot,"Pocillopora brevicornis Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, J. W.",,"Pocillopora brevicornis Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,4,"Ladd; Tracey, J. I.",2-May-46,,North Pacific Ocean,,,Marshall Islands,,,,"Ralik Chain, Bikini Atoll, Ourukaen Island, Seaward Reef, Lithothamnion Ridge",,,,U.S. Navy Operation Crossroads,,,,,,,,,,,172586,,,,,,,,,3/29/2017 16:41,http://n2t.net/ark:/65665/385653f28-be00-49ee-b5cf-2282b166cb98
USNM 721,Specimen/Lot,"Pocillopora brevicornis Lamarck, 1816",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Pocillopora brevicornis Lamarck, 1816 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,,1838 to 1842,,South Pacific Ocean,,,Fiji,,,,,,,,U.S. Exploring Expedition,,,,,,,,,,,,,,,,,,,,3/29/2017 16:40,http://n2t.net/ark:/65665/30c73c38d-7cd6-470b-a9aa-f38f6edc58cc
