Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 1615584,Specimen/Lot,Seriatopora ? sp.,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Coffer, Timothy E., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",26-Feb-20,Seriatopora sp. : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1 LOT,,,M-22,"Hendler, G.",8-Jun-79,,South Pacific Ocean,,,Papua New Guinea,,,,"Port Moresby, West Of",-8.8283,146.548,,Helix-79,Alpha Helix R/V,,,,,Intertidal,,,,,376773,,,,,,,,,2/26/2020 17:52,http://n2t.net/ark:/65665/30615dd8d-61af-4b7a-bef6-a740202e4ec1
USNM 38322,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Vaughan, T. W.",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Wood-Jones, F.",,,Indian Ocean,,,Australia,,,,Cocos Keeling Islands,,,,,,,,,,,,,,,,,,,,,,,,3/29/2017 16:55,http://n2t.net/ark:/65665/3ab945a59-e975-4586-bf52-559042a51041
USNM 79326,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, J. W.",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Kuenzler, E. J.; Pomeroy, L. R.",15-Jul-60,,North Pacific Ocean,,,Marshall Islands,,,,"Ralik Chain, Enewetak Atoll, Lagoon",,,,,,,,,9,,,,,,373757,,,,,,,,,3/29/2017 16:56,http://n2t.net/ark:/65665/3bcd97e4d-d405-4c4a-98ed-abc52e50bc41
USNM 79327,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, J. W.",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1 ca.,,,,,7-Mar-50,,North Pacific Ocean,,,Marshall Islands,,,,"Ratak Chain, Arno Atoll, Lagoon Reef, E End Of Atoll, First Islet S Of Aotle Island",,,,,,,,,0 to 1,,,,,,373757,,,,,,,,,10/17/2014 21:58,http://n2t.net/ark:/65665/3738a6e98-c61d-4e83-acef-f84764922603
USNM 79328,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, J. W.",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,,"Ackerman, J.",,,North Pacific Ocean,,,Palau,,,,Palau Island,,,,,,,,,30,,,,,,373757,,,,,,,,,3/29/2017 16:56,http://n2t.net/ark:/65665/30870add7-3975-47aa-93c6-c50be216c321
USNM 79329,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, J. W.",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,6,,,,,24-Jul-50,,North Pacific Ocean,,,Marshall Islands,,,,"Ratak Chain, Arno Atoll, Lagoon, 1 - 2 Mile N Of Jiyabo",,,,,,,,,37,,,,,,373757,,,,,,,,,10/17/2014 21:58,http://n2t.net/ark:/65665/310eaaf17-0b00-45b6-8044-9ac5ea6aadc3
USNM 79674,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, J. W.",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1 ca.,,,,,,,Indian Ocean,Red Sea,,Eritrea,,,,"Dahlak Archipelago, Entedebir Island",,,,,,,,,,,,,,,373757,,,,,,,,,10/17/2014 22:01,http://n2t.net/ark:/65665/38c896568-cd44-477f-af2d-8aad0d18f608
USNM 83612,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, J. W.",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,10 ca.,,,66,"Emery, K. O.",,,North Pacific Ocean,,,Marshall Islands,,,,"Ralik Chain, Bikini Atoll, Lagoon",,,,,,,,,46,,,,,,172586,,,,,,,,,3/29/2017 17:00,http://n2t.net/ark:/65665/346bc65b6-e58f-434b-a28c-0bafcfe8d7eb
USNM 83613,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, J. W.",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,2,,,89,Taylor,5-Jun-46,,North Pacific Ocean,,,Marshall Islands,,,,"Ralik Chain, Enewetak Atoll, Enewetak Island, 5 Mile North Of Island",,,,U.S. Navy Operation Crossroads,,,,,27 to 37,,,,,,172586,,,,,,,,,3/29/2017 17:00,http://n2t.net/ark:/65665/3bb75bd3b-078a-4233-ae6c-48ab176f39b7
USNM 44352,Specimen/Lot,Seriatopora angulata Klunzinger,Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Wells, John West",,Seriatopora angulata Klunzinger : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,103,"Wells, J. W.",30-Jul-47,,North Pacific Ocean,,,Marshall Islands,,,,"Ralik Chain, Bikini Atoll, Enyu Island, Seaward Slope Off Of",,,,,,,,,23 to 30,,,,,specimen number : US 6111,172586,,,,,,,,,11/30/2018 20:15,http://n2t.net/ark:/65665/3fcfe14e3-d698-4a19-8811-2f9e5de24e7f
