Catalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,GenBank Numbers,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 63093,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,3,,,GS 08780,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Oligocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/3d419bd09-160d-4260-91a3-ee5afb0587e5
USNM 63104,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,20 ca.,,,GS 08735,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Miocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/3244adf3f-647e-49e8-a15a-6ded8021303b
USNM 63122,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,100 ca.,,,GS 08663,"Vaughan, T. W.",,,,,,Dominican Republic,,,,Arroyo Las Lavas,,,,,,,,,,,Miocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/3538ad396-f883-4be1-bd97-5b8a8f6e8ace
USNM 63182,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,7,,,GS 08532,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Miocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/3d525f378-3cb5-46a1-a763-ae40e30511ea
USNM 63235,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 07775,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Miocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/39c71af3e-ab7d-4e21-b561-0832f15f9a98
USNM 64357,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 08568,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Miocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/39c7aff8f-2f57-4068-a806-e11b25425824
USNM 64358,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 08520,"Vaughan, T. W.; Cooke",,,,,,Dominican Republic,,,,Rio Mao,,,,,,,,,,,Miocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/3ed160660-f1de-4166-9a1b-44d379ba98a8
USNM 64411,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,12,,,GS 08556,,,,,,,Dominican Republic,,,,,,,,,,,,,,,Miocene,,,,,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/380946d31-37bf-4ebf-a760-e40458607d87
USNM 79803,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Meeder, J. F.",,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,CF001,"Meeder, J. F.",,,,,,United States,Florida,,,"Tamiami Formation, SW Florida",,,,,,,,,,,Pliocene,,,,376268,,,,,,,,,3/29/2017 16:42,http://n2t.net/ark:/65665/350e9acf3-dc2d-43e0-8d93-6ef5fd499452
USNM 79806,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,Vaughan,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,2,,,GS 08663,"Vaughan, T. W.",,,,,,Dominican Republic,,,,Arroyo Las Lavas,,,,,,,,,,,Miocene,,,,376268,,,,,,,,,9/28/2017 19:27,http://n2t.net/ark:/65665/3ed9def98-c9a3-4c47-a791-2059ab045eb8
USNM 79807,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Meeder, J. F.",,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 08556,Vaughan; Cook,,,,,,Dominican Republic,,,,Rio Gurabo,,,,,,,,,,,Miocene,,,,376286,,,,,,,,,3/29/2017 16:43,http://n2t.net/ark:/65665/3cb674ff4-58c7-4e57-9a5b-f883e39dceb1
USNM 79836,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Meeder, J. F.",,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 25779,,,,,,,United States,Florida,Collier County,,Spoil From East-West Canal,,,,,,,,,,,Pliocene,,,,376268,,,,,,,,,3/29/2017 16:44,http://n2t.net/ark:/65665/307e122c0-436d-4b5b-9e46-8815e94c0a99
USNM 79837,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Meeder, J. F.",,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 25779,,,,,,,United States,Florida,Collier County,,Spoil From East-West Canal,,,,,,,,,,,Pliocene,,,,376268,,,,,,,,,3/29/2017 16:44,http://n2t.net/ark:/65665/3668aafef-062c-47df-b944-89acc2c14839
USNM 79838,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Meeder, J. F.",,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 25779,,,,,,,United States,Florida,Collier County,,Spoil From East-West Canal,,,,,,,,,,,Pliocene,,,,376268,,,,,,,,,3/29/2017 16:44,http://n2t.net/ark:/65665/3a6cedd9c-7adf-41e3-89e0-1d743b51a928
USNM 79839,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Meeder, J. F.",,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 25779,,,,,,,United States,Florida,Collier County,,Spoil From East-West Canal,,,,,,,,,,,Pliocene,,,,376268,,,,,,,,,3/29/2017 16:44,http://n2t.net/ark:/65665/33cb7333a-03ec-4367-8b1d-d85db5d244a8
USNM 79840,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,"Meeder, J. F.",,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,Hypotype,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,1,,,GS 25779,,,,,,,United States,Florida,Collier County,,Spoil From East-West Canal,,,,,,,,,,,Pliocene,,,,376268,,,,,,,,,3/29/2017 16:44,http://n2t.net/ark:/65665/31740c9ef-7539-4889-999d-e3ba53000018
USNM M   325119,Specimen/Lot,"Stylophora affinis Duncan, 1863",Pocilloporidae,Cnidaria,Anthozoa,Scleractinia,,,"Stylophora affinis Duncan, 1863 : Pocilloporidae : Scleractinia : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Hexacorallia, Scleractinia, Pocilloporidae",Corals,,5,,,GS 03446,"Vaughan, T. W.",1901,,,,,Cuba,,,,"Near Santiago, first deep cutting on railroad East of La Cruz",,,,,,,,,,,Tertiary,,,,,,,,,,,,,3/29/2017 16:42,http://n2t.net/ark:/65665/3f9f63f6c-3e1f-42c2-b685-332c526cf95c
